path,emotion
processed_audio\indo_neutral_01-01-01-01.wav,neutral
processed_audio\indo_neutral_01-01-01-02.wav,neutral
processed_audio\indo_neutral_01-01-01-03.wav,neutral
processed_audio\indo_neutral_01-01-02-01.wav,neutral
processed_audio\indo_neutral_01-01-02-02.wav,neutral
processed_audio\indo_neutral_01-01-02-03.wav,neutral
processed_audio\indo_happy_01-02-01-01.wav,happy
processed_audio\indo_happy_01-02-01-02.wav,happy
processed_audio\indo_happy_01-02-01-03.wav,happy
processed_audio\indo_happy_01-02-02-01.wav,happy
processed_audio\indo_happy_01-02-02-02.wav,happy
processed_audio\indo_happy_01-02-02-03.wav,happy
processed_audio\indo_surprised_01-03-01-01.wav,surprised
processed_audio\indo_surprised_01-03-01-02.wav,surprised
processed_audio\indo_surprised_01-03-01-03.wav,surprised
processed_audio\indo_surprised_01-03-02-01.wav,surprised
processed_audio\indo_surprised_01-03-02-02.wav,surprised
processed_audio\indo_surprised_01-03-02-03.wav,surprised
processed_audio\indo_disgust_01-04-01-01.wav,disgust
processed_audio\indo_disgust_01-04-01-02.wav,disgust
processed_audio\indo_disgust_01-04-01-03.wav,disgust
processed_audio\indo_disgust_01-04-02-01.wav,disgust
processed_audio\indo_disgust_01-04-02-02.wav,disgust
processed_audio\indo_disgust_01-04-02-03.wav,disgust
processed_audio\indo_sad_01-05-01-01.wav,sad
processed_audio\indo_sad_01-05-01-02.wav,sad
processed_audio\indo_sad_01-05-01-03.wav,sad
processed_audio\indo_sad_01-05-02-01.wav,sad
processed_audio\indo_sad_01-05-02-02.wav,sad
processed_audio\indo_sad_01-05-02-03.wav,sad
processed_audio\indo_neutral_02-01-01-01.wav,neutral
processed_audio\indo_neutral_02-01-01-02.wav,neutral
processed_audio\indo_neutral_02-01-01-03.wav,neutral
processed_audio\indo_neutral_02-01-02-01.wav,neutral
processed_audio\indo_neutral_02-01-02-02.wav,neutral
processed_audio\indo_neutral_02-01-02-03.wav,neutral
processed_audio\indo_happy_02-02-01-01.wav,happy
processed_audio\indo_happy_02-02-01-02.wav,happy
processed_audio\indo_happy_02-02-01-03.wav,happy
processed_audio\indo_happy_02-02-02-01.wav,happy
processed_audio\indo_happy_02-02-02-02.wav,happy
processed_audio\indo_happy_02-02-02-03.wav,happy
processed_audio\indo_surprised_02-03-01-01.wav,surprised
processed_audio\indo_surprised_02-03-01-02.wav,surprised
processed_audio\indo_surprised_02-03-01-03.wav,surprised
processed_audio\indo_surprised_02-03-02-01.wav,surprised
processed_audio\indo_surprised_02-03-02-02.wav,surprised
processed_audio\indo_surprised_02-03-02-03.wav,surprised
processed_audio\indo_disgust_02-04-01-01.wav,disgust
processed_audio\indo_disgust_02-04-01-02.wav,disgust
processed_audio\indo_disgust_02-04-01-03.wav,disgust
processed_audio\indo_disgust_02-04-02-01.wav,disgust
processed_audio\indo_disgust_02-04-02-02.wav,disgust
processed_audio\indo_disgust_02-04-02-03.wav,disgust
processed_audio\indo_sad_02-05-01-01.wav,sad
processed_audio\indo_sad_02-05-01-02.wav,sad
processed_audio\indo_sad_02-05-01-03.wav,sad
processed_audio\indo_sad_02-05-02-01.wav,sad
processed_audio\indo_sad_02-05-02-02.wav,sad
processed_audio\indo_sad_02-05-02-03.wav,sad
processed_audio\indo_neutral_03-01-01-01.wav,neutral
processed_audio\indo_neutral_03-01-01-02.wav,neutral
processed_audio\indo_neutral_03-01-01-03.wav,neutral
processed_audio\indo_neutral_03-01-02-01.wav,neutral
processed_audio\indo_neutral_03-01-02-02.wav,neutral
processed_audio\indo_neutral_03-01-02-03.wav,neutral
processed_audio\indo_happy_03-02-01-01.wav,happy
processed_audio\indo_happy_03-02-01-02.wav,happy
processed_audio\indo_happy_03-02-01-03.wav,happy
processed_audio\indo_happy_03-02-02-01.wav,happy
processed_audio\indo_happy_03-02-02-02.wav,happy
processed_audio\indo_happy_03-02-02-03.wav,happy
processed_audio\indo_surprised_03-03-01-01.wav,surprised
processed_audio\indo_surprised_03-03-01-02.wav,surprised
processed_audio\indo_surprised_03-03-01-03.wav,surprised
processed_audio\indo_surprised_03-03-02-01.wav,surprised
processed_audio\indo_surprised_03-03-02-02.wav,surprised
processed_audio\indo_surprised_03-03-02-03.wav,surprised
processed_audio\indo_disgust_03-04-01-01.wav,disgust
processed_audio\indo_disgust_03-04-01-02.wav,disgust
processed_audio\indo_disgust_03-04-01-03.wav,disgust
processed_audio\indo_disgust_03-04-02-01.wav,disgust
processed_audio\indo_disgust_03-04-02-02.wav,disgust
processed_audio\indo_disgust_03-04-02-03.wav,disgust
processed_audio\indo_sad_03-05-01-01.wav,sad
processed_audio\indo_sad_03-05-01-02.wav,sad
processed_audio\indo_sad_03-05-01-03.wav,sad
processed_audio\indo_sad_03-05-02-01.wav,sad
processed_audio\indo_sad_03-05-02-02.wav,sad
processed_audio\indo_sad_03-05-02-03.wav,sad
processed_audio\indo_neutral_04-01-01-01.wav,neutral
processed_audio\indo_neutral_04-01-01-02.wav,neutral
processed_audio\indo_neutral_04-01-01-03.wav,neutral
processed_audio\indo_neutral_04-01-02-01.wav,neutral
